pairID	nwk1	nwk2	class1	class2	class_pair	sum_overlap	TreeDistance	NyeSimilarity	MatchingSplitDistance	KendallColijn	MASTSize	year	year2	order	rank	sum_loci	morph_chars	rank_numeric	loci_diff	exact_prop	prop_overlap	class.pair2
pairID2280	Michel2017Myrmeleontidae.nwk	Vasilikopoulos2020Neuropterida.nwk	G	O	GO	8	0.353025070436458	3.83333333333333	4	2.44948974278318	6	2017	2020	Other	family	3643	0	3	-3627	0.875	0.55	NA
pairID2281	Michel2017Myrmeleontidae.nwk	Winterton2018Neuropterida.nwk	G	O	GO	12	0.115963366755624	8.14285714285714	6	4	11	2017	2018	Other	order	207	0	6	-191	0.5	0.445945945945946	NA
pairID2282	MicoMoron2008Cetoniidae.nwk	SipekFabrizi2016Cetoniinae.nwk	P	G	GP	22	0.416973062912691	12.6332673862086	43	21.3541565040626	13	2008	2016	Coleoptera	family	3	76	3	-3	0.545454545454545	0.17741935483871	NA
pairID2283	MillerBartlett2018Ephemeroptera.nwk	OgdenGattolliat2009Ephemeroptera.nwk	O	C	NA	18	0.227144420719857	12.7820512820513	15	10.770329614269	13	2018	2009	Palaeoptera	order	457	101	6	447	0.444444444444444	0.216494845360825	NA
pairID2284	MillerBartlett2018Ephemeroptera.nwk	OgdenWhiting2005Ephemeroptera.nwk	O	G	GO	15	0	2	0	0	5	2018	2005	Palaeoptera	order	457	0	6	447	0.466666666666667	0.194444444444444	NA
pairID2285	MillerEdgerly2008Metoligotoma.nwk	MillerHayashi2012Embioptera.nwk	C	C	NA	10	0.110602204927111	6.33333333333333	2	1.4142135623731	9	2008	2012	Polyneoptera	genus	10	105	1	0	1	0.180327868852459	NA
pairID2287	MillerHayashi2012Embioptera.nwk	Szumik2004Archembiidae.nwk	C	P	NA	10	0.373905317700509	5.03571428571429	11	9.89949493661167	5	2012	2004	Polyneoptera	order	5	190	6	5	0.6	0.705882352941177	NA
pairID2289	MinoshimaHayashi2013Horelophopsinae.nwk	ShortFikacek2013Hydrophilidae.nwk	P	G	GP	17	0.214497651046542	9.14848484848485	12	6	11	2013	2013	Coleoptera	subfamily	6	138	3	-6	0.294117647058824	0.207142857142857	NA
pairID2290	MisofLiu2014Hexapoda.nwk	Peters2017Hymenoptera.nwk	O	O	OO	16	0.0937384891827244	11.8666666666667	5	31.1608729017658	7	2014	2017	Other	superorder	4734	0	7	-1778	0.875	0.478405315614618	TR.TR
pairID2291	MisofLiu2014Hexapoda.nwk	SongBethoux2020Orthoptera.nwk	O	O	OO	6	0	3	0	0	6	2014	2020	Other	superorder	6892	0	7	-3936	1	0.761904761904762	TR.TR
